,Personnage,Poids
0,ARTHUR,0.33579953933133244
1,LÉODAGAN,0.09995114120192643
2,PERCEVAL,0.09890416695749285
3,LANCELOT,0.0699378795281636
4,GUENIÈVRE,0.06198087527046835
5,KARADOC,0.060933901026034756
6,BOHORT,0.04327493543658826
7,MERLIN,0.03119983248412089
8,DAME SÉLI,0.027919313184895652
9,YVAIN,0.015774411949466043
10,GUETHENOC,0.015704613666503803
11,DEMETRA,0.013401270328749913
12,VENEC,0.0112375235569205
13,CALOGRENANT,0.010958330425071543
14,GAUVAIN,0.010679137293222587
15,DAME MEVANWI,0.00956236476582676
16,YGERNE DE TINTAGEL,0.007957004257695261
17,ANGHARAD,0.006351643749563761
18,GRÜDÜ,0.0053046695051301735
19,ÉLIAS DE KELLIWIC'H,0.0052348712221679345
20,CAIUS,0.0048160815243945
21,ROPARZH,0.004746283241432261
22,AELIS,0.004327493543658826
23,AZÉNOR,0.003769107279960913
24,GALESSIN,0.003699308996998674
25,AZILIZ,0.0023731416207161305
26,KAY,0.0023731416207161305
27,PENDRAGON,0.002163746771829413
28,TEGEIRIAN,0.0020241502059049348
29,ATTILA,0.0018147553570182174
30,KADOC,0.0017449570740559783
31,HERVEIG,0.0017449570740559783
32,FEARMAC,0.001675158791093739
33,TUMET,0.001535562225169261
34,NARSÈS,0.0014657639422070217
35,DAGONET,0.0013959656592447826
36,TORRI,0.0013959656592447826
37,JACCA,0.0013959656592447826
38,URGAN,0.0012563690933203044
39,EVEQUE BONIFACE,0.0011865708103580652
40,BRECCAN,0.0011865708103580652
41,MADENN,0.0010469742444335869
42,CRYDA DE TINTAGEL,0.000977175961471348
43,HAGOP,0.0009073776785091087
44,LE ROI LOTH,0.0009073776785091087
45,ROBYN,0.0008375793955468695
46,BUZIT,0.0008375793955468695
47,GOUSTAN LE CRUEL,0.0008375793955468695
48,LE ROI KETCHATAR,0.0007677811125846305
49,BELT,0.0006979828296223913
50,SÉFRIANE,0.0006281845466601522
51,LE ROI HOËL,0.00041878969777343477
52,BERLEWEN,6.979828296223913e-05
